Date,8058,三菱商事 決算,三菱商事 配当
2021-03-01,2.353396245609369,-0.1510949314801135,-0.4113438122377865
2021-03-02,2.47422029051191,-0.1510949314801135,-0.4113438122377865
2021-03-03,2.192297519072648,-0.1510949314801135,2.136180537196603
2021-03-04,-0.4658314687832524,-0.1510949314801135,2.672501452867001
2021-03-05,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-03-06,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-03-07,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-03-08,-0.4658314687832524,-0.1510949314801135,1.7339398504438046
2021-03-09,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-03-10,3.561636694634778,-0.1510949314801135,-0.4113438122377865
2021-03-11,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-03-12,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-03-13,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-03-14,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-03-15,2.2728468823410086,-0.1510949314801135,1.6892464408046048
2021-03-16,-0.4658314687832524,-0.1510949314801135,2.4490344046710018
2021-03-17,1.7895507027308448,-0.1510949314801135,-0.4113438122377865
2021-03-18,2.0311987925359265,-0.1510949314801135,-0.4113438122377865
2021-03-19,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-03-20,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-03-21,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-03-22,2.0311987925359265,-0.1510949314801135,-0.4113438122377865
2021-03-23,2.192297519072648,-0.1510949314801135,-0.4113438122377865
2021-03-24,-0.4658314687832524,-0.1510949314801135,2.0021003082790036
2021-03-25,2.595044335414451,-0.1510949314801135,2.627808043227801
2021-03-26,-0.4658314687832524,-0.1510949314801135,2.2702607661142022
2021-03-27,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-03-28,-0.4658314687832524,-0.1510949314801135,1.8233266697222044
2021-03-29,-0.4658314687832524,-0.1510949314801135,4.057997151682195
2021-03-30,2.192297519072648,-0.1510949314801135,1.8233266697222044
2021-03-31,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-01,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-02,1.9103747476333857,-0.1510949314801135,-0.4113438122377865
2021-04-03,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-04,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-05,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-06,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-07,1.9909241109017464,-0.1510949314801135,-0.4113438122377865
2021-04-08,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-09,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-10,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-11,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-12,1.8701000659992053,-0.1510949314801135,-0.4113438122377865
2021-04-13,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-14,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-15,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-16,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-17,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-18,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-19,2.7964177435853523,-0.1510949314801135,-0.4113438122377865
2021-04-20,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-21,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-22,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-23,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-24,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-25,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-26,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-27,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-28,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-29,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-04-30,-0.4658314687832524,-0.1510949314801135,1.8680200793614041
2021-05-01,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-05-02,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-05-03,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-05-04,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-05-05,-0.4658314687832524,1.7552590076743027,-0.4113438122377865
2021-05-06,-0.4658314687832524,2.8589376040268593,-0.4113438122377865
2021-05-07,-0.4658314687832524,9.88234685354313,1.912713489000604
2021-05-08,-0.4658314687832524,2.1565966790752324,-0.4113438122377865
2021-05-09,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-05-10,-0.4658314687832524,-0.1510949314801135,2.2255673564750027
2021-05-11,1.9909241109017464,-0.1510949314801135,-0.4113438122377865
2021-05-12,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-05-13,2.876967106853713,-0.1510949314801135,-0.4113438122377865
2021-05-14,-0.4658314687832524,-0.1510949314801135,2.8065816817846003
2021-05-15,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-05-16,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-05-17,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-05-18,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-05-19,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-05-20,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
2021-05-21,-0.4658314687832524,-0.1510949314801135,-0.4113438122377865
