Date,天然ガス,インフレ,円安,利上げ,ウクライナ 情勢
2021-03-01,-1.6770644713091247,0.7508506476691594,0.7498474972909346,-0.6761130055366901,
2021-03-02,0.48756534741397817,0.4826834094308723,1.130342602841402,-0.6761130055366901,
2021-03-03,2.996568091843029,0.14747436163301328,1.5108377083918696,-0.6761130055366901,
2021-03-04,2.50460676940596,0.6167670285500159,3.3589567924941406,-0.6761130055366901,
2021-03-05,-1.6770644713091247,0.2815579807521569,4.337372778195343,-0.6761130055366901,
2021-03-06,0.4383692151702713,0.2815579807521569,1.945689257592404,-0.6761130055366901,
2021-03-07,0.29078081843915066,0.14747436163301328,1.402124821091736,-0.6761130055366901,
2021-03-08,1.3238995955569952,-0.12069287660527389,2.761035912343406,-0.6761130055366901,
2021-03-09,1.815860917994064,-0.3888601148435611,4.065590559945009,-0.6761130055366901,
2021-03-10,0.3399769506828575,0.34859979031172866,1.8913328139423373,-0.6761130055366901,
2021-03-11,-1.6770644713091247,0.2145161711925851,1.0759861591913353,-0.6761130055366901,
2021-03-12,1.0779189343384608,-0.0536510670457021,2.217471475842738,-0.6761130055366901,
2021-03-13,-1.6770644713091247,-0.9922364008797072,0.7498474972909346,-0.6761130055366901,
2021-03-14,0.585957611901392,-0.5229437339627047,0.7498474972909346,-0.6761130055366901,
2021-03-15,1.5698802567755297,-0.7240691626414201,1.5108377083918696,-0.6761130055366901,
2021-03-16,0.19238855395173687,-0.4559019244031329,1.5108377083918696,-0.6761130055366901,
2021-03-17,0.8319382731199263,-0.2547764957244175,0.8042039409410013,-0.6761130055366901,
2021-03-18,-0.004395975023090653,0.013390742513869696,0.912916828241135,-0.6761130055366901,
2021-03-19,0.5367614796576851,0.14747436163301328,0.9672732718912017,-0.6761130055366901,
2021-03-20,-1.6770644713091247,-0.3888601148435611,0.15192661714019987,-0.6761130055366901,
2021-03-21,-1.6770644713091247,-0.5229437339627047,0.47806527904060064,-0.6761130055366901,
2021-03-22,0.0939962894643231,-0.1877346861648457,0.369352391740467,-0.6761130055366901,
2021-03-23,1.0287228020947539,-0.7911109722009919,0.20628306079026665,-0.6761130055366901,
2021-03-24,0.14319242170802998,-0.9922364008797072,0.20628306079026665,-0.6761130055366901,
2021-03-25,0.0939962894643231,-0.9251945913201355,0.31499594809040027,-0.6761130055366901,
2021-03-26,-1.6770644713091247,-0.7911109722009919,0.8042039409410013,-0.6761130055366901,
2021-03-27,-1.6770644713091247,-0.9922364008797072,0.09757017349013307,-0.6761130055366901,
2021-03-28,-1.6770644713091247,-1.059278210439279,0.15192661714019987,-0.6761130055366901,
2021-03-29,0.5367614796576851,-0.7240691626414201,1.0759861591913353,-0.6761130055366901,
2021-03-30,0.4383692151702713,-0.3218183052839893,3.467669679794274,-0.6761130055366901,
2021-03-31,-1.6770644713091247,-0.12069287660527389,3.1415310178938736,-0.6761130055366901,
2021-04-01,-1.6770644713091247,-1.059278210439279,1.130342602841402,-0.6761130055366901,
2021-04-02,1.815860917994064,-1.1263200199988508,1.1846990464914688,-0.6761130055366901,
2021-04-03,-1.6770644713091247,-0.9251945913201355,1.0759861591913353,-0.6761130055366901,
2021-04-04,-1.6770644713091247,-0.3888601148435611,1.1846990464914688,-0.6761130055366901,
2021-04-05,-1.6770644713091247,-0.6570273530818482,1.3477683774416693,-0.6761130055366901,
2021-04-06,-1.6770644713091247,-0.9922364008797072,0.7498474972909346,-0.6761130055366901,
2021-04-07,-1.6770644713091247,-0.7240691626414201,1.3477683774416693,-0.6761130055366901,
2021-04-08,1.1271150665821676,-0.6570273530818482,0.7498474972909346,-0.6761130055366901,
2021-04-09,0.8319382731199263,-1.1933618295584227,0.04321372984006628,-0.6761130055366901,
2021-04-10,-1.6770644713091247,-0.9922364008797072,0.04321372984006628,-0.6761130055366901,
2021-04-11,-1.6770644713091247,-0.7911109722009919,-1.0982715868113364,-0.6761130055366901,
2021-04-12,0.3891730829265644,-0.7240691626414201,0.04321372984006628,-0.6761130055366901,
2021-04-13,0.24158468619544377,-0.2547764957244175,0.6954910536408678,-0.6761130055366901,
2021-04-14,0.8319382731199263,-0.3218183052839893,0.7498474972909346,-0.6761130055366901,
2021-04-15,1.373095727800702,-0.3218183052839893,0.31499594809040027,-0.6761130055366901,
2021-04-16,-0.10278823951050442,-1.1263200199988508,0.6954910536408678,-0.6761130055366901,
2021-04-17,-0.1519843717542113,-1.2604036391179945,0.04321372984006628,-0.6761130055366901,
2021-04-18,0.3399769506828575,-1.1263200199988508,0.09757017349013307,-0.6761130055366901,
2021-04-19,2.7013912983807877,-0.7240691626414201,0.09757017349013307,-0.6761130055366901,
2021-04-20,-1.6770644713091247,-0.2547764957244175,0.912916828241135,-0.6761130055366901,
2021-04-21,-1.6770644713091247,-0.4559019244031329,0.42370883539053383,-0.6761130055366901,
2021-04-22,-1.6770644713091247,-0.4559019244031329,0.09757017349013307,-0.6761130055366901,
2021-04-23,0.29078081843915066,-1.059278210439279,-0.5003507066606017,-0.6761130055366901,
2021-04-24,0.0939962894643231,-0.5229437339627047,-1.0982715868113364,-0.6761130055366901,
2021-04-25,-1.6770644713091247,-0.6570273530818482,0.42370883539053383,-0.6761130055366901,
2021-04-26,1.4714879922881159,-0.6570273530818482,-0.011142713810000511,-0.6761130055366901,
2021-04-27,0.14319242170802998,-0.2547764957244175,0.04321372984006628,-0.6761130055366901,
