Date,三菱商事 株価 掲示板,三菱商事 株価
2021-03-01,-0.24086591573878666,1.6071996168727423
2021-03-02,-0.24086591573878666,1.0674472300942088
2021-03-03,-0.24086591573878666,1.684307100698247
2021-03-04,-0.24086591573878666,1.1445547139197134
2021-03-05,-0.24086591573878666,0.9903397462687039
2021-03-06,-0.24086591573878666,-1.3228847684964393
2021-03-07,-0.24086591573878666,-1.16866980084543
2021-03-08,-0.24086591573878666,1.1445547139197134
2021-03-09,-0.24086591573878666,1.9541832940875137
2021-03-10,-0.24086591573878666,1.6071996168727423
2021-03-11,-0.24086591573878666,1.4529846492217326
2021-03-12,-0.24086591573878666,1.5686458749599899
2021-03-13,-0.24086591573878666,-1.0144548331944203
2021-03-14,-0.24086591573878666,-1.2457772846709345
2021-03-15,-0.24086591573878666,1.3758771653962278
2021-03-16,-0.24086591573878666,2.185505745564028
2021-03-17,-0.24086591573878666,1.3373234234834754
2021-03-18,-0.24086591573878666,1.7228608426109993
2021-03-19,-0.24086591573878666,1.4144309073089802
2021-03-20,-0.24086591573878666,-1.0915623170199251
2021-03-21,-0.24086591573878666,-1.16866980084543
2021-03-22,-0.24086591573878666,1.5300921330472375
2021-03-23,-0.24086591573878666,1.1831084558324658
2021-03-24,-0.24086591573878666,1.684307100698247
2021-03-25,-0.24086591573878666,1.3758771653962278
2021-03-26,-0.24086591573878666,1.0674472300942088
2021-03-27,-0.24086591573878666,-1.0530085751071727
2021-03-28,-0.24086591573878666,-1.16866980084543
2021-03-29,-0.24086591573878666,1.5686458749599899
2021-03-30,-0.24086591573878666,1.298769681570723
2021-03-31,-0.24086591573878666,0.9517860043559516
2021-04-01,-0.24086591573878666,1.1831084558324658
2021-04-02,-0.24086591573878666,0.9517860043559516
2021-04-03,-0.24086591573878666,-1.1301160589326775
2021-04-04,-0.24086591573878666,-1.284331026583687
2021-04-05,-0.24086591573878666,1.3373234234834754
2021-04-06,-0.24086591573878666,1.1831084558324658
2021-04-07,-0.24086591573878666,1.1831084558324658
2021-04-08,-0.24086591573878666,1.1831084558324658
2021-04-09,-0.24086591573878666,1.0674472300942088
2021-04-10,-0.24086591573878666,-1.3228847684964393
2021-04-11,-0.24086591573878666,-1.3999922523219441
2021-04-12,-0.24086591573878666,0.9132322624431992
2021-04-13,-0.24086591573878666,0.9132322624431992
2021-04-14,-0.24086591573878666,0.21926490801365617
2021-04-15,-0.24086591573878666,0.7204635528794372
2021-04-16,-0.24086591573878666,0.45058735949017054
2021-04-17,-0.24086591573878666,-1.16866980084543
2021-04-18,-0.24086591573878666,-1.3228847684964393
2021-04-19,-0.24086591573878666,0.7204635528794372
2021-04-20,-0.24086591573878666,0.6819098109666849
2021-04-21,-0.24086591573878666,0.8746785205304468
2021-04-22,-0.24086591573878666,0.6819098109666849
2021-04-23,-0.24086591573878666,0.296372391839161
2021-04-24,-0.24086591573878666,-1.669868445711211
2021-04-25,-0.24086591573878666,-1.3228847684964393
2021-04-26,-0.24086591573878666,0.6433560690539325
2021-04-27,-0.24086591573878666,0.1807111661009038
2021-04-28,-0.24086591573878666,0.10360368227539901
2021-04-29,-0.24086591573878666,-1.2072235427581823
2021-04-30,-0.24086591573878666,0.7590172947921896
2021-05-01,-0.24086591573878666,-1.3999922523219441
2021-05-02,-0.24086591573878666,-1.3614385104091917
2021-05-03,-0.24086591573878666,-1.3614385104091917
2021-05-04,-0.24086591573878666,-1.3614385104091917
2021-05-05,-0.24086591573878666,-1.3228847684964393
