Date,Adj Close,Volume,Volatility
2021-04-20,862.5521240234375,10382100,0.2190233938571363
2021-04-21,856.8246459960938,12120600,0.21487615624650167
2021-04-22,862.8384399414062,6644400,0.2013377514635596
2021-04-23,861.4066162109375,7312500,0.19140513284056462
2021-04-26,862.5521240234375,6380100,0.1852593242814677
2021-04-27,851.2404174804688,10830000,0.18137272564096743
2021-04-28,855.392822265625,7686900,0.18265237929992142
2021-04-30,864.8432006835938,12611100,0.18248991513790622
2021-05-06,903.7897338867188,22892400,0.23095338397208257
2021-05-07,867.9931640625,32232600,0.27016526954914566
2021-05-10,862.2658081054688,19681200,0.24784797669829076
2021-05-11,857.2542114257812,15415200,0.24596279628682213
2021-05-12,831.7672119140625,21417300,0.26331614483446775
2021-05-13,825.0374145507812,13578300,0.260404329824083
2021-05-14,840.50146484375,11874000,0.27039409002761805
2021-05-17,840.0718994140625,8862300,0.26848591435459956
2021-05-18,847.3743896484375,11267700,0.2710782078124077
2021-05-19,840.7879028320312,10728600,0.26998933546709963
2021-05-20,836.6354370117188,9434100,0.26947848797694723
2021-05-21,833.771728515625,10151100,0.26713466387728907
2021-05-24,843.5084838867188,9137700,0.27151622725394603
2021-05-25,847.3743896484375,8718300,0.2680535964570976
2021-05-26,842.9357299804688,9318000,0.2677122640456125
2021-05-27,833.3422241210938,30683100,0.26858638015340325
2021-05-28,863.6976318359375,19953300,0.29825276975763837
2021-05-31,854.53369140625,9636600,0.30052952870516986
2021-06-01,854.6768798828125,8984700,0.2969262527277499
2021-06-02,879.16162109375,14946600,0.31221479013332515
2021-06-03,878.3026123046875,11009100,0.31028475385707394
2021-06-04,880.8800048828125,7413000,0.2677404439116526
2021-06-07,884.3164672851562,6931200,0.22690278101209524
2021-06-08,879.16162109375,9418500,0.22659573642336173
2021-06-09,881.7390747070312,8194800,0.22533435350489694
2021-06-10,879.734375,9381600,0.19481436253751577
2021-06-11,876.2980346679688,7929000,0.19240627726725723
2021-06-14,875.4388427734375,5548800,0.1840437654143556
2021-06-15,874.0070190429688,7040700,0.18427378777843365
2021-06-16,878.8753662109375,7566000,0.1831482536212396
2021-06-17,876.2980346679688,6489000,0.180713560767687
2021-06-18,856.1087646484375,15981000,0.1997578774931158
2021-06-21,833.1990356445312,15602400,0.22213286098746388
2021-06-22,864.2704467773438,12162000,0.253339075479569
2021-06-23,868.279541015625,7535400,0.2533485434619972
2021-06-24,873.4342651367188,7506300,0.2527406335790892
2021-06-25,884.6026611328125,8163000,0.25076081345725165
2021-06-28,886.3209228515625,6989400,0.22030932371873846
